path,name,extension,size,lines
C:\Users\Admin\Desktop\My_Programs\Li-fest\README.md,README.md,.md,484,14
C:\Users\Admin\Desktop\My_Programs\Li-fest\ASCII_ART\ascii_art.aup,ascii_art.aup,.aup,8285,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\ASCII_ART\ascii_art.txt,ascii_art.txt,.txt,808,9
C:\Users\Admin\Desktop\My_Programs\Li-fest\ASCII_ART\Li-fest.png,Li-fest.png,.png,13068,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\database\dao.php,dao.php,.php,2488,90
C:\Users\Admin\Desktop\My_Programs\Li-fest\database\dbconnect.php,dbconnect.php,.php,728,26
C:\Users\Admin\Desktop\My_Programs\Li-fest\database\env.php,env.php,.php,107,6
C:\Users\Admin\Desktop\My_Programs\Li-fest\layout_image\login.png,login.png,.png,34324,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\layout_image\main_page.png,main_page.png,.png,80892,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\layout_image\register.png,register.png,.png,15444,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\layout_image\sumahosize.png,sumahosize.png,.png,18076,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\account_registerform.php,account_registerform.php,.php,3298,77
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\confirmation.php,confirmation.php,.php,5306,132
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\dev_info.php,dev_info.php,.php,3140,77
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\index.php,index.php,.php,5213,107
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\item_registerform.php,item_registerform.php,.php,2806,66
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\loginform.php,loginform.php,.php,3321,78
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\privacy_policy.php,privacy_policy.php,.php,5076,71
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\terms_of_service.php,terms_of_service.php,.php,12289,142
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\contact_form\contact_form.php,contact_form.php,.php,1647,38
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\contact_form\contact_form_confirmation.php,contact_form_confirmation.php,.php,1949,46
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\contact_form\contact_form_sent.php,contact_form_sent.php,.php,2258,65
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\accountstyle.css,accountstyle.css,.css,1936,96
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\accountstyle.css.map,accountstyle.css.map,.map,948,1
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\accountstyle.scss,accountstyle.scss,.scss,2758,109
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\confirmation.css,confirmation.css,.css,3308,175
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\confirmation.css.map,confirmation.css.map,.map,1499,1
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\confirmation.scss,confirmation.scss,.scss,4760,192
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\contact_form.css,contact_form.css,.css,1141,66
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\contact_form.css.map,contact_form.css.map,.map,672,1
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\contact_form.scss,contact_form.scss,.scss,1180,59
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\dev_info.css,dev_info.css,.css,1580,73
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\dev_info.css.map,dev_info.css.map,.map,720,1
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\dev_info.scss,dev_info.scss,.scss,2196,81
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\index.css,index.css,.css,3865,149
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\index.css.map,index.css.map,.map,1358,1
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\index.scss,index.scss,.scss,4333,149
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\privacy_policy.css,privacy_policy.css,.css,540,31
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\privacy_policy.css.map,privacy_policy.css.map,.map,362,1
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\privacy_policy.scss,privacy_policy.scss,.scss,589,33
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\registerstyle.css,registerstyle.css,.css,1602,97
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\registerstyle.css.map,registerstyle.css.map,.map,883,1
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\registerstyle.scss,registerstyle.scss,.scss,2216,110
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\terms_of_service.css,terms_of_service.css,.css,542,31
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\terms_of_service.css.map,terms_of_service.css.map,.map,368,1
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\terms_of_service.scss,terms_of_service.scss,.scss,589,33
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\reuse\color.css,color.css,.css,37,1
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\reuse\color.css.map,color.css.map,.map,70,1
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\reuse\color.scss,color.scss,.scss,627,24
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\reuse\footer.css,footer.css,.css,971,45
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\reuse\footer.css.map,footer.css.map,.map,451,1
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\reuse\footer.scss,footer.scss,.scss,1206,46
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\reuse\header.css,header.css,.css,314,18
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\reuse\header.css.map,header.css.map,.map,239,1
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\reuse\header.scss,header.scss,.scss,389,22
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\reuse\size.css,size.css,.css,36,1
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\reuse\size.css.map,size.css.map,.map,69,1
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\css\reuse\size.scss,size.scss,.scss,281,8
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\image\add_data.png,add_data.png,.png,25289,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\image\choose_button.png,choose_button.png,.png,36915,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\image\data_input.png,data_input.png,.png,17065,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\image\example.png,example.png,.png,58329,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\image\favicon.ico,favicon.ico,.ico,90022,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\image\Li-fest.png,Li-fest.png,.png,13068,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\image\Li-fest_header.png,Li-fest_header.png,.png,10485,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\image\Li-fest_no_image.png,Li-fest_no_image.png,.png,26007,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\image\Li-fest_transparent.png,Li-fest_transparent.png,.png,16657,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\image\press_add_button.png,press_add_button.png,.png,21674,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\image\Shaneron-100x100.png,Shaneron-100x100.png,.png,25005,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\image\show_data.png,show_data.png,.png,29539,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\image\TreeHouse-460x460.png,TreeHouse-460x460.png,.png,44088,0
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\js\calc_cost.js,calc_cost.js,.js,2263,54
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\js\checkbox.js,checkbox.js,.js,1181,34
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\js\checkinput.js,checkinput.js,.js,1086,38
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\js\context_menu.js,context_menu.js,.js,1527,42
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\js\replace.js,replace.js,.js,1648,36
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\js\resize_data_size.js,resize_data_size.js,.js,2671,63
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\js\under_fix.js,under_fix.js,.js,1491,32
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\receiver\account_register.php,account_register.php,.php,1122,32
C:\Users\Admin\Desktop\My_Programs\Li-fest\public\receiver\item_register.php,item_register.php,.php,1216,32
